Id,Name,Tax category,Created at,Updated at,Organization,Uuid
2109,Gela Bead & More,5,2025-01-17 16:22:14 UTC,2025-01-17 16:22:14 UTC,1,chin_bd96b90a-57a2-4f24-85e8-c449597ea1ce
2108,Gorila Sushi,3,2025-01-16 15:17:57 UTC,2025-01-16 15:17:57 UTC,1,chin_59e416bc-3e23-4cce-bee6-4f564cb6ab3c
2107,SM Perfect Luxury,5,2025-01-16 15:17:40 UTC,2025-01-16 15:17:40 UTC,1,chin_297e26a0-81b8-4c95-829d-e7f24135d37f
2106,El Rey Cantina Mexicana,3,2025-01-16 14:25:19 UTC,2025-01-16 14:25:19 UTC,1,chin_b8a25f65-f889-449e-bd21-79c941a37681
2105,Floristería Evelyn,5,2025-01-16 14:25:02 UTC,2025-01-16 14:25:02 UTC,1,chin_9b7eccf4-97cb-4a83-ae50-58526cd2b3cc
2104,Farmacia El Centro,5,2025-01-16 14:24:44 UTC,2025-01-16 14:24:44 UTC,1,chin_cf6e019c-539c-4f33-9afe-b7d3d10f2b01
2103,Farmacia Feliciano,5,2025-01-16 14:24:27 UTC,2025-01-16 14:24:27 UTC,1,chin_0c869d02-ff15-4ead-9442-5adb6c73b8cc
2102,La Casa de los Pastelillos,3,2025-01-16 14:24:05 UTC,2025-01-16 14:24:05 UTC,1,chin_ee4b349c-a55b-4882-aaca-4e5bfd31ba84
2101,Tires2Go,5,2025-01-16 14:23:42 UTC,2025-01-16 14:23:42 UTC,1,chin_b93f3adf-6414-45f5-9eb6-438da249739c
2100,HydroVenture New Adventure Water Sport Rental,5,2025-01-16 14:23:06 UTC,2025-01-16 14:23:06 UTC,1,chin_07cce108-fcb8-43af-8014-95b51a26dd31
2099,De Boca En Boca,3,2025-01-16 14:22:49 UTC,2025-01-16 14:22:49 UTC,1,chin_5a87a5dc-7012-4010-848b-c135dfb6419d
2098,Bien Bueno,3,2025-01-16 14:22:31 UTC,2025-01-16 14:22:31 UTC,1,chin_1716f921-ec53-43db-ac76-ef5b1ea7a0c8
2097,Cani Amato,3,2025-01-16 14:22:11 UTC,2025-01-16 14:22:11 UTC,1,chin_0cec6ff3-b448-48e3-ac69-380e2df39410
2096,Ocean Motion Watersportcar,5,2025-01-16 14:21:38 UTC,2025-01-16 14:21:38 UTC,1,chin_b6534815-ca26-4e72-9e69-76f75cceba02
2095,Farmacias Revilla Delete,7,2025-01-14 14:29:23 UTC,2025-01-14 14:33:35 UTC,2,chin_08806fd9-5e07-4f78-a720-7ffa89692c03
2094,Pa’Ky o Pa’Ka Restaurant,3,2025-01-10 19:50:48 UTC,2025-01-10 19:50:48 UTC,1,chin_3d5b36fb-f6c1-4e98-95b8-4efa207f7847
2093,Edible Arrangements,5,2025-01-10 19:50:30 UTC,2025-01-10 23:24:45 UTC,1,chin_ea1304a2-0a21-4146-982f-929a6b01312e
2092,Rabiosas PR,3,2025-01-10 19:49:56 UTC,2025-01-10 19:49:56 UTC,1,chin_ab331324-c918-42c1-9bab-1e27aad23655
2091,Candela Great Candy,3,2025-01-10 19:49:18 UTC,2025-01-10 19:49:18 UTC,1,chin_f5a31e89-a13d-4edd-b62b-5dbdda968193
